Success, Time Elapsed,Xstart,Ystart, Xend,Yend,Xlength, Ylength, PathDist, num threads, Filename,,,cores,Total time
1,3.912,0,0,16,73,100,100,74.7329,1,maps/100map.bmp,,,,
1,418.612,0,0,693,526,1000,1000,870.014,1,maps/1000Geometric.bmp,,,,
1,1.102,0,0,41,38,50,50,55.9017,1,maps/cross50.bmp,,,,
1,1.012,0,0,22,43,50,50,48.3011,1,maps/50map.bmp,,,,
1,0.99,0,0,15,22,50,50,26.6271,1,maps/50mapAOR.bmp,,,,
1,417.707,0,0,735,606,1000,1000,952.607,1,maps/1000AOR_wObs.bmp,,,,
1,3.797,0,0,84,33,100,100,90.2497,1,maps/100map.bmp,,,,
1,417.446,0,0,965,531,1000,1000,1101.45,1,maps/1000Geometric.bmp,,,,
1,1.089,0,0,43,48,50,50,64.4438,1,maps/cross50.bmp,,,,
1,1,0,0,10,30,50,50,31.6228,1,maps/50map.bmp,,,,
1,0.998,0,0,31,30,50,50,43.1393,1,maps/50mapAOR.bmp,,,,
1,421.892,0,0,827,345,1000,1000,896.077,1,maps/1000AOR_wObs.bmp,,,,
1,4.005,0,0,59,17,100,100,61.4003,1,maps/100map.bmp,,,,
1,420.231,0,0,250,614,1000,1000,662.945,1,maps/1000Geometric.bmp,,,,
1,1.289,0,0,40,24,50,50,46.6476,1,maps/cross50.bmp,,,,
1,1.067,0,0,13,48,50,50,49.7293,1,maps/50map.bmp,,,,
1,0.992,0,0,26,21,50,50,33.4215,1,maps/50mapAOR.bmp,,,,
1,429.927,0,0,761,950,1000,1000,1217.22,1,maps/1000AOR_wObs.bmp,,,,
1,3.905,0,0,84,19,100,100,86.122,1,maps/100map.bmp,,,,
1,422.597,0,0,163,671,1000,1000,690.514,1,maps/1000Geometric.bmp,,,,
1,1.13,0,0,2,38,50,50,38.0526,1,maps/cross50.bmp,,,,
1,0.991,0,0,48,4,50,50,48.1664,1,maps/50map.bmp,,,,
1,0.986,0,0,13,34,50,50,36.4005,1,maps/50mapAOR.bmp,,,,
1,414.153,0,0,625,840,1000,1000,1047.01,1,maps/1000AOR_wObs.bmp,,,,
1,3.821,0,0,18,57,100,100,59.7746,1,maps/100map.bmp,,,,
1,414.967,0,0,636,129,1000,1000,648.951,1,maps/1000Geometric.bmp,,,,
1,1.082,0,0,43,34,50,50,54.8179,1,maps/cross50.bmp,,,,
1,1.025,0,0,48,3,50,50,48.0937,1,maps/50map.bmp,,,,
1,0.989,0,0,32,14,50,50,34.9285,1,maps/50mapAOR.bmp,,,,
1,417.018,0,0,855,267,1000,1000,895.72,1,maps/1000AOR_wObs.bmp,,,,
1,4.008,0,0,52,34,100,100,62.1289,1,maps/100map.bmp,,,,
1,424.647,0,0,510,120,1000,1000,523.927,1,maps/1000Geometric.bmp,,,,
1,1.097,0,0,33,11,50,50,34.7851,1,maps/cross50.bmp,,,,
1,1.009,0,0,38,36,50,50,52.345,1,maps/50map.bmp,,,,
1,1.056,0,0,36,36,50,50,50.9117,1,maps/50mapAOR.bmp,,,,
1,414.161,0,0,923,614,1000,1000,1108.57,1,maps/1000AOR_wObs.bmp,,,,
1,3.974,0,0,20,47,100,100,51.0784,1,maps/100map.bmp,,,,
1,412.019,0,0,257,659,1000,1000,707.34,1,maps/1000Geometric.bmp,,,,
1,1.237,0,0,2,42,50,50,42.0476,1,maps/cross50.bmp,,,,
1,0.986,0,0,10,29,50,50,30.6757,1,maps/50map.bmp,,,,
1,0.975,0,0,15,29,50,50,32.6497,1,maps/50mapAOR.bmp,,,,
1,419.828,0,0,425,913,1000,1000,1007.07,1,maps/1000AOR_wObs.bmp,,,,
1,3.748,0,0,2,95,100,100,95.0211,1,maps/100map.bmp,,,,
1,413.743,0,0,685,283,1000,1000,741.157,1,maps/1000Geometric.bmp,,,,
1,1.149,0,0,25,18,50,50,30.8058,1,maps/cross50.bmp,,,,
1,1.018,0,0,41,27,50,50,49.0918,1,maps/50map.bmp,,,,
1,0.985,0,0,38,24,50,50,44.9444,1,maps/50mapAOR.bmp,,,,
1,420.671,0,0,663,856,1000,1000,1082.73,1,maps/1000AOR_wObs.bmp,,,,
1,4.016,0,0,18,80,100,100,82,1,maps/100map.bmp,,,,
1,417.409,0,0,195,482,1000,1000,519.951,1,maps/1000Geometric.bmp,,,,
1,1.129,0,0,15,34,50,50,37.1618,1,maps/cross50.bmp,,,,
1,1.039,0,0,19,46,50,50,49.7695,1,maps/50map.bmp,,,,
1,1.003,0,0,20,18,50,50,26.9072,1,maps/50mapAOR.bmp,,,,
1,418.797,0,0,696,418,1000,1000,811.874,1,maps/1000AOR_wObs.bmp,,,,
1,3.924,0,0,49,49,100,100,69.2965,1,maps/100map.bmp,,,,
1,416.754,0,0,537,406,1000,1000,673.205,1,maps/1000Geometric.bmp,,,,
1,1.239,0,0,40,22,50,50,45.6508,1,maps/cross50.bmp,,,,
1,0.997,0,0,34,5,50,50,34.3657,1,maps/50map.bmp,,,,
1,0.985,0,0,38,34,50,50,50.9902,1,maps/50mapAOR.bmp,,,,
1,417.996,0,0,891,928,1000,1000,1286.49,1,maps/1000AOR_wObs.bmp,,,,
1,3.867,0,0,85,41,100,100,94.3716,1,maps/100map.bmp,,,,
1,414.658,0,0,976,617,1000,1000,1154.67,1,maps/1000Geometric.bmp,,,,
1,1.232,0,0,27,33,50,50,42.638,1,maps/cross50.bmp,,,,
1,1.027,0,0,42,8,50,50,42.7551,1,maps/50map.bmp,,,,
1,1.003,0,0,9,32,50,50,33.2415,1,maps/50mapAOR.bmp,,,,
1,414.795,0,0,653,103,1000,1000,661.073,1,maps/1000AOR_wObs.bmp,,,,
1,4.036,0,0,42,30,100,100,51.614,1,maps/100map.bmp,,,,
1,424.507,0,0,575,244,1000,1000,624.629,1,maps/1000Geometric.bmp,,,,
1,1.173,0,0,29,0,50,50,29,1,maps/cross50.bmp,,,,
1,1.02,0,0,33,40,50,50,51.8556,1,maps/50map.bmp,,,,
1,1.038,0,0,29,25,50,50,38.2884,1,maps/50mapAOR.bmp,,,,
1,429.548,0,0,656,822,1000,1000,1051.67,1,maps/1000AOR_wObs.bmp,,,,
1,4.275,0,0,59,58,100,100,82.7345,1,maps/100map.bmp,,,,
1,430.213,0,0,183,804,1000,1000,824.564,1,maps/1000Geometric.bmp,,,,
1,1.126,0,0,40,4,50,50,40.1995,1,maps/cross50.bmp,,,,
1,1.014,0,0,41,2,50,50,41.0488,1,maps/50map.bmp,,,,
1,1.005,0,0,31,36,50,50,47.5079,1,maps/50mapAOR.bmp,,,,
1,420.528,0,0,165,885,1000,1000,900.25,1,maps/1000AOR_wObs.bmp,,,,
1,3.828,0,0,26,73,100,100,77.4919,1,maps/100map.bmp,,,,
1,418.762,0,0,783,125,1000,1000,792.915,1,maps/1000Geometric.bmp,,,,
1,1.202,0,0,43,48,50,50,64.4438,1,maps/cross50.bmp,,,,
1,1.178,0,0,38,18,50,50,42.0476,1,maps/50map.bmp,,,,
