Success, Time Elapsed,Xstart,Ystart, Xend,Yend,Xlength, Ylength, PathDist, num threads, Filename,,,Threads,Run time(sec)
1,0.691,0,0,36,19,50,50,40.7063,1,maps/50map.bmp,,,,
1,1.113,0,0,39,37,50,50,53.7587,1,maps/50mapAOR.bmp,,,,
1,239.808,0,0,854,676,1000,1000,1089.17,1,maps/1000AOR_wObs.bmp,,,,
1,3.413,0,0,44,32,100,100,54.4059,1,maps/100map.bmp,,,,
1,291.744,0,0,177,796,1000,1000,815.442,1,maps/1000Geometric.bmp,,,,
1,1.194,0,0,33,8,50,50,33.9559,1,maps/cross50.bmp,,,,
1,0.687,0,0,44,2,50,50,44.0454,1,maps/50map.bmp,,,,
1,1.103,0,0,26,24,50,50,35.3836,1,maps/50mapAOR.bmp,,,,
1,249.418,0,0,178,868,1000,1000,886.063,1,maps/1000AOR_wObs.bmp,,,,
1,4.147,0,0,52,39,100,100,65,1,maps/100map.bmp,,,,
1,293.858,0,0,208,856,1000,1000,880.909,1,maps/1000Geometric.bmp,,,,
1,1.216,0,0,45,9,50,50,45.8912,1,maps/cross50.bmp,,,,
1,0.687,0,0,33,16,50,50,36.6742,1,maps/50map.bmp,,,,
1,1.105,0,0,23,21,50,50,31.1448,1,maps/50mapAOR.bmp,,,,
1,260.661,0,0,912,327,1000,1000,968.851,1,maps/1000AOR_wObs.bmp,,,,
1,3.57,0,0,74,13,100,100,75.1332,1,maps/100map.bmp,,,,
1,305.507,0,0,597,578,1000,1000,830.959,1,maps/1000Geometric.bmp,,,,
1,1.249,0,0,10,38,50,50,39.2938,1,maps/cross50.bmp,,,,
1,0.929,0,0,44,18,50,50,47.5395,1,maps/50map.bmp,,,,
1,1.159,0,0,9,31,50,50,32.28,1,maps/50mapAOR.bmp,,,,
1,261.554,0,0,307,925,1000,1000,974.615,1,maps/1000AOR_wObs.bmp,,,,
1,4.198,0,0,45,88,100,100,98.8383,1,maps/100map.bmp,,,,
1,262.551,0,0,995,720,1000,1000,1228.18,1,maps/1000Geometric.bmp,,,,
1,1.285,0,0,16,29,50,50,33.121,1,maps/cross50.bmp,,,,
1,0.693,0,0,3,31,50,50,31.1448,1,maps/50map.bmp,,,,
1,1.005,0,0,38,27,50,50,46.6154,1,maps/50mapAOR.bmp,,,,
1,243.811,0,0,80,713,1000,1000,717.474,1,maps/1000AOR_wObs.bmp,,,,
1,4.287,0,0,77,92,100,100,119.971,1,maps/100map.bmp,,,,
1,262.195,0,0,905,903,1000,1000,1278.45,1,maps/1000Geometric.bmp,,,,
1,1.519,0,0,26,31,50,50,40.4599,1,maps/cross50.bmp,,,,
1,1.048,0,0,41,33,50,50,52.6308,1,maps/50map.bmp,,,,
1,0.69,0,0,16,32,50,50,35.7771,1,maps/50mapAOR.bmp,,,,
1,260.32,0,0,667,332,1000,1000,745.059,1,maps/1000AOR_wObs.bmp,,,,
