Success, Time Elapsed,Xstart,Ystart, Xend,Yend,Xlength, Ylength, PathDist, num threads, Filename
1,1187.4,0,0,382,489,1000,1000,620.52,8,maps/1000Geometric.bmp
1,2.301,0,0,42,43,50,50,60.1082,8,maps/cross50.bmp
1,4.349,0,0,35,43,50,50,55.4437,8,maps/50map.bmp
1,9.37,0,0,14,29,50,50,32.2025,8,maps/50mapAOR.bmp
1,1134.32,0,0,97,737,1000,1000,743.356,8,maps/1000AOR_wObs.bmp
1,16.368,0,0,54,14,100,100,55.7853,8,maps/100map.bmp
1,1206.33,0,0,310,833,1000,1000,888.813,8,maps/1000Geometric.bmp
1,4.177,0,0,1,38,50,50,38.0132,8,maps/cross50.bmp
1,3.037,0,0,39,2,50,50,39.0512,8,maps/50map.bmp
1,2.234,0,0,37,31,50,50,48.2701,8,maps/50mapAOR.bmp
1,1060.58,0,0,287,894,1000,1000,938.938,8,maps/1000AOR_wObs.bmp
1,9.627,0,0,94,4,100,100,94.0851,8,maps/100map.bmp
1,1146.54,0,0,268,480,1000,1000,549.749,8,maps/1000Geometric.bmp
1,1.52,0,0,17,27,50,50,31.9061,8,maps/cross50.bmp
1,8.972,0,0,40,8,50,50,40.7922,8,maps/50map.bmp
1,2.445,0,0,21,26,50,50,33.4215,8,maps/50mapAOR.bmp
1,1235.49,0,0,676,761,1000,1000,1017.89,8,maps/1000AOR_wObs.bmp
1,9.147,0,0,81,54,100,100,97.3499,8,maps/100map.bmp
1,1173.71,0,0,864,991,1000,1000,1314.75,8,maps/1000Geometric.bmp
1,2.159,0,0,5,48,50,50,48.2597,8,maps/cross50.bmp
1,2.081,0,0,39,7,50,50,39.6232,8,maps/50map.bmp
1,2.112,0,0,20,25,50,50,32.0156,8,maps/50mapAOR.bmp
1,1252.35,0,0,713,911,1000,1000,1156.84,8,maps/1000AOR_wObs.bmp
1,15.533,0,0,12,81,100,100,81.8841,8,maps/100map.bmp
1,1221.71,0,0,300,722,1000,1000,781.847,8,maps/1000Geometric.bmp
1,3.042,0,0,35,37,50,50,50.9313,8,maps/cross50.bmp
1,2.713,0,0,13,38,50,50,40.1622,8,maps/50map.bmp
1,2.653,0,0,21,29,50,50,35.805,8,maps/50mapAOR.bmp
1,1057.69,0,0,864,691,1000,1000,1106.33,8,maps/1000AOR_wObs.bmp
1,8.196,0,0,73,29,100,100,78.5493,8,maps/100map.bmp
1,1139.59,0,0,978,643,1000,1000,1170.44,8,maps/1000Geometric.bmp
1,3.068,0,0,38,38,50,50,53.7401,8,maps/cross50.bmp
1,2.288,0,0,48,32,50,50,57.6888,8,maps/50map.bmp
1,2.292,0,0,22,24,50,50,32.5576,8,maps/50mapAOR.bmp
1,1164.47,0,0,316,911,1000,1000,964.249,8,maps/1000AOR_wObs.bmp
1,10.648,0,0,98,50,100,100,110.018,8,maps/100map.bmp
1,1343.12,0,0,686,113,1000,1000,695.245,8,maps/1000Geometric.bmp
1,1.78,0,0,49,32,50,50,58.5235,8,maps/cross50.bmp
1,2.306,0,0,48,39,50,50,61.8466,8,maps/50map.bmp
1,2.63,0,0,39,39,50,50,55.1543,8,maps/50mapAOR.bmp
1,1124.89,0,0,720,947,1000,1000,1189.63,8,maps/1000AOR_wObs.bmp
1,6.731,0,0,90,40,100,100,98.4886,8,maps/100map.bmp
1,856.293,0,0,970,831,1000,1000,1277.29,8,maps/1000Geometric.bmp
1,3.008,0,0,32,20,50,50,37.7359,8,maps/cross50.bmp
1,2.15,0,0,48,34,50,50,58.8218,8,maps/50map.bmp
1,2.101,0,0,26,40,50,50,47.7074,8,maps/50mapAOR.bmp
1,1607.03,0,0,942,903,1000,1000,1304.9,8,maps/1000AOR_wObs.bmp
1,5.884,0,0,16,73,100,100,74.7329,8,maps/100map.bmp
1,1077.54,0,0,693,526,1000,1000,870.014,8,maps/1000Geometric.bmp
1,2.371,0,0,41,38,50,50,55.9017,8,maps/cross50.bmp
1,6.135,0,0,22,43,50,50,48.3011,8,maps/50map.bmp
1,1.972,0,0,15,22,50,50,26.6271,8,maps/50mapAOR.bmp
1,967.685,0,0,735,606,1000,1000,952.607,8,maps/1000AOR_wObs.bmp
1,15.857,0,0,84,33,100,100,90.2497,8,maps/100map.bmp
1,1020.09,0,0,965,531,1000,1000,1101.45,8,maps/1000Geometric.bmp
1,2.384,0,0,43,48,50,50,64.4438,8,maps/cross50.bmp
1,2.242,0,0,10,30,50,50,31.6228,8,maps/50map.bmp
1,2.261,0,0,31,30,50,50,43.1393,8,maps/50mapAOR.bmp
1,1091.85,0,0,827,345,1000,1000,896.077,8,maps/1000AOR_wObs.bmp
1,11.914,0,0,59,17,100,100,61.4003,8,maps/100map.bmp
1,1217.51,0,0,250,614,1000,1000,662.945,8,maps/1000Geometric.bmp
1,2.735,0,0,40,24,50,50,46.6476,8,maps/cross50.bmp
1,2.047,0,0,13,48,50,50,49.7293,8,maps/50map.bmp
1,2.131,0,0,26,21,50,50,33.4215,8,maps/50mapAOR.bmp
1,1098.48,0,0,761,950,1000,1000,1217.22,8,maps/1000AOR_wObs.bmp
1,11.232,0,0,84,19,100,100,86.122,8,maps/100map.bmp
1,1105.22,0,0,163,671,1000,1000,690.514,8,maps/1000Geometric.bmp
